module name	repository
is-finite@1.0.2	https://github.com/sindresorhus/is-finite
is-fullwidth-code-point@1.0.0	https://github.com/sindresorhus/is-fullwidth-code-point
is-fullwidth-code-point@2.0.0	https://github.com/sindresorhus/is-fullwidth-code-point
is-glob@3.1.0	https://github.com/jonschlinkert/is-glob
is-glob@4.0.0	https://github.com/jonschlinkert/is-glob
is-number@3.0.0	https://github.com/jonschlinkert/is-number
isobject@2.1.0	https://github.com/jonschlinkert/isobject
isobject@3.0.1	https://github.com/jonschlinkert/isobject
is-path-inside@1.0.1	https://github.com/sindresorhus/is-path-inside
is-plain-object@2.0.4	https://github.com/jonschlinkert/is-plain-object
is-promise@2.1.0	https://github.com/then/is-promise
is-regex@1.0.4	https://github.com/ljharb/is-regex
isstream@0.1.2	https://github.com/rvagg/isstream
is-stream@1.1.0	https://github.com/sindresorhus/is-stream
is-symbol@1.0.2	https://github.com/ljharb/is-symbol
is-typedarray@1.0.0	https://github.com/hughsk/is-typedarray
is-windows@1.0.2	https://github.com/jonschlinkert/is-windows
is-wsl@1.1.0	https://github.com/sindresorhus/is-wsl
jsbn@0.1.1	https://github.com/andyperlitch/jsbn
jsesc@1.3.0	https://github.com/mathiasbynens/jsesc
json5@1.0.1	https://github.com/json5/json5
jsonfile@4.0.0	https://github.com/jprichardson/node-jsonfile
json-schema-traverse@0.4.1	https://github.com/epoberezkin/json-schema-traverse
jsprim@1.4.1	https://github.com/joyent/node-jsprim
js-sha512@0.8.0	https://github.com/emn178/js-sha512
js-tokens@3.0.2	https://github.com/lydell/js-tokens
js-tokens@4.0.0	https://github.com/lydell/js-tokens
kind-of@3.2.2	https://github.com/jonschlinkert/kind-of
kind-of@4.0.0	https://github.com/jonschlinkert/kind-of
kind-of@5.1.0	https://github.com/jonschlinkert/kind-of
kind-of@6.0.2	https://github.com/jonschlinkert/kind-of
levn@0.3.0	https://github.com/gkz/levn
loader-utils@1.2.3	https://github.com/webpack/loader-utils
lodash.debounce@4.0.8	https://github.com/lodash/lodash
lodash@4.17.11	https://github.com/lodash/lodash
loose-envify@1.4.0	https://github.com/zertosh/loose-envify
make-dir@1.3.0	https://github.com/sindresorhus/make-dir
map-cache@0.2.2	https://github.com/jonschlinkert/map-cache
map-visit@1.0.0	https://github.com/jonschlinkert/map-visit
media-typer@0.3.0	https://github.com/jshttp/media-typer
memory-fs@0.4.1	https://github.com/webpack/memory-fs
merge-descriptors@1.0.1	https://github.com/component/merge-descriptors
methods@1.1.2	https://github.com/jshttp/methods
micromatch@3.1.10	https://github.com/micromatch/micromatch
mime-db@1.37.0	https://github.com/jshttp/mime-db
mime-types@2.1.21	https://github.com/jshttp/mime-types
mimic-fn@1.2.0	https://github.com/sindresorhus/mimic-fn
minimist@0.0.8	https://github.com/substack/minimist
minimist@1.2.0	https://github.com/substack/minimist
mixin-deep@1.3.1	https://github.com/jonschlinkert/mixin-deep
mkdirp@0.5.1	https://github.com/substack/node-mkdirp
moment@2.24.0	https://github.com/moment/moment
ms@2.0.0	https://github.com/zeit/ms
ms@2.1.1	https://github.com/zeit/ms
nanomatch@1.2.13	https://github.com/micromatch/nanomatch
negotiator@0.6.1	https://github.com/jshttp/negotiator
